# 0-10%, Ds-meson R_AA
# two columns of R_AA encompass theoretical uncertainty from charm shadowing
#pT(GeV)     R_AA
0.5	1.44545	1.07286
1.5	1.89973	1.43148
2.5	1.84655	1.42497
3.5	1.26707	1.01582
4.5	0.7857	0.65297
5.5	0.53397	0.46476
6.5	0.42253	0.3735
7.5	0.36995	0.33597
8.5	0.35474	0.33144
9.5	0.36081	0.33425
10.5	0.37027	0.3418
11.5	0.3844	0.36287
12.5	0.39651	0.36882
13.5	0.42407	0.37729
14.5	0.43796	0.39654
15.5	0.44426	0.40696
16.5	0.46261	0.43058
17.5	0.46652	0.44994
18.5	0.48819	0.45705
19.5	0.51634	0.44943
20.5	0.51842	0.49172
21.5	0.52759	0.4862
22.5	0.55876	0.51167
23.5	0.52339	0.49758
24.5	0.53267	0.51288
25.5	0.55324	0.54834
26.5	0.53498	0.49404
27.5	0.54201	0.53219
28.5	0.57479	0.54112
29.5	0.60208	0.58294
